"user_id","started","lastdata","therm_sens","therm_comfort","therm_pref","therm_accep","met","air_velocity","air_quality","humidity","overall_comfort","tiredness"
MB654888,2023-11-29 13:32:17.000,2023-11-29 13:33:57.000,4.0,5,3,1,1.2,4,4,4,,4
FA872888,2023-11-29 12:29:20.000,2023-11-29 12:30:09.000,3.0,4,3,1,1.2,4,3,3,4.0,3
FA369774,2023-11-29 12:32:02.000,2023-11-29 12:34:22.000,2.0,2,3,2,1.0,6,6,6,2.0,3
MB654888,2023-11-29 12:34:16.000,2023-11-29 12:36:48.000,3.0,4,3,1,1.6,5,5,5,4.0,4
MD189828,2023-11-29 12:37:17.000,2023-11-29 12:39:31.000,3.0,4,2,1,1.6,3,5,4,4.0,4
FA369774,2023-11-29 13:01:51.000,2023-11-29 13:05:03.000,2.0,3,3,2,1.0,5,5,5,3.0,3
MD189828,2023-11-29 13:38:28.000,2023-11-29 13:41:14.000,4.0,4,3,1,1.0,3,3,4,4.0,4
MB654888,2023-11-29 13:39:09.000,2023-11-29 13:44:20.000,5.0,5,2,1,1.0,4,4,4,5.0,4
FA872888,2023-11-29 13:39:11.000,2023-11-29 13:39:53.000,5.0,4,2,1,1.0,4,3,3,4.0,3
FA369774,2023-11-29 13:42:01.000,2023-11-29 13:44:09.000,4.0,5,2,1,1.0,4,4,4,5.0,3
FA872888,2023-11-29 13:49:14.000,2023-11-29 13:49:47.000,5.0,4,1,1,1.0,4,3,3,4.0,3
MD189828,2023-11-29 13:49:14.000,2023-11-29 13:50:37.000,5.0,4,2,1,1.0,5,3,3,4.0,3
FA369774,2023-11-29 13:51:54.000,2023-11-29 13:54:46.000,5.0,3,1,2,1.0,4,3,3,3.0,3
MB654888,2023-11-29 13:51:56.000,2023-11-29 13:55:05.000,5.0,5,2,1,1.2,4,4,4,5.0,4
MD189828,2023-11-29 13:59:14.000,2023-11-29 14:00:34.000,5.0,4,2,1,1.0,2,4,4,4.0,3
FA872888,2023-11-29 13:59:17.000,2023-11-29 13:59:42.000,5.0,4,2,1,1.0,4,3,3,4.0,3
FA369774,2023-11-29 14:01:46.000,2023-11-29 14:04:23.000,6.0,3,1,1,1.0,4,3,3,3.0,3
MB654888,2023-11-29 14:01:51.000,2023-11-29 14:04:44.000,5.0,5,2,1,1.0,4,4,4,5.0,4
FA872888,2023-11-29 14:09:12.000,2023-11-29 14:09:41.000,4.0,4,2,1,1.0,3,4,4,4.0,3
MD189828,2023-11-29 14:09:23.000,2023-11-29 14:10:49.000,4.0,4,2,1,1.0,5,4,4,4.0,3
FA369774,2023-11-29 14:11:51.000,2023-11-29 14:14:52.000,4.0,5,2,1,1.0,4,4,4,4.0,3
MB654888,2023-11-29 14:15:24.000,2023-11-29 14:16:54.000,4.0,4,2,1,1.0,4,4,4,4.0,4
MD189828,2023-11-29 14:29:14.000,2023-11-29 14:30:47.000,3.0,3,3,1,1.0,5,5,4,4.0,3
FA369774,2023-11-29 14:31:58.000,2023-11-29 14:37:09.000,4.0,4,2,1,1.0,5,4,4,4.0,3
MB654888,2023-11-29 14:37:37.000,2023-11-29 14:39:37.000,4.0,4,2,1,1.2,4,4,4,4.0,4
FA872888,2023-11-29 14:39:15.000,2023-11-29 14:40:09.000,4.0,4,2,1,1.0,4,4,3,4.0,3
MD189828,2023-11-29 14:39:18.000,2023-11-29 14:40:43.000,3.0,3,3,1,1.0,5,5,3,3.0,3
MB654888,2023-11-29 14:41:54.000,2023-11-29 14:44:02.000,3.0,4,3,1,1.0,5,4,5,4.0,4
FA369774,2023-11-29 14:42:01.000,2023-11-29 14:43:51.000,4.0,4,2,1,1.0,5,5,4,4.0,3
FA872888,2023-11-29 14:49:11.000,2023-11-29 14:49:39.000,4.0,4,2,1,1.0,4,3,3,4.0,3
MD189828,2023-11-29 14:49:19.000,2023-11-29 14:50:21.000,3.0,3,3,1,1.0,5,5,5,3.0,3
MB654888,2023-11-29 14:51:48.000,2023-11-29 14:53:36.000,3.0,4,3,1,1.0,5,5,5,4.0,4
FA369774,2023-11-29 14:51:49.000,2023-11-29 14:55:14.000,4.0,4,2,1,1.0,5,5,4,5.0,3
FA872888,2023-11-29 14:59:12.000,2023-11-29 14:59:43.000,4.0,4,2,1,1.0,4,4,4,4.0,3
MD189828,2023-11-29 14:59:26.000,2023-11-29 15:00:28.000,3.0,3,3,1,1.0,5,3,3,3.0,3
MD189828,2023-11-29 15:00:33.000,2023-11-29 15:11:00.000,3.0,3,3,1,1.0,5,5,4,3.0,3
FA369774,2023-11-29 15:01:47.000,2023-11-29 15:03:30.000,3.0,3,3,2,1.0,5,5,4,3.0,3
MB654888,2023-11-29 15:01:49.000,2023-11-29 15:03:45.000,3.0,4,3,1,1.6,5,5,5,4.0,4
FA872888,2023-11-29 15:09:11.000,2023-11-29 15:09:40.000,4.0,4,2,1,1.0,4,3,3,4.0,3
MD189828,2023-11-29 15:11:03.000,2023-11-29 15:20:18.000,3.0,3,3,1,1.0,5,5,5,3.0,3
FA369774,2023-11-29 15:11:45.000,2023-11-29 15:14:26.000,4.0,4,2,1,1.0,5,5,5,4.0,3
MB654888,2023-11-29 15:12:00.000,2023-11-29 15:13:58.000,3.0,4,3,1,1.0,5,5,5,4.0,4
FA872888,2023-11-29 15:19:12.000,2023-11-29 15:19:54.000,3.0,4,3,1,1.0,4,3,5,4.0,2
MD189828,2023-11-29 15:20:20.000,2023-11-29 15:30:26.000,3.0,3,3,1,1.0,3,5,3,3.0,3
FA369774,2023-11-29 15:21:49.000,2023-11-29 15:25:07.000,3.0,4,3,2,1.0,6,5,5,4.0,3
MB654888,2023-11-29 15:21:50.000,2023-11-29 15:24:30.000,3.0,4,3,1,1.2,5,5,5,4.0,4
FA872888,2023-11-29 15:29:20.000,2023-11-29 15:29:52.000,4.0,4,2,1,1.0,4,3,3,4.0,2
MD189828,2023-11-29 15:30:30.000,2023-11-29 15:40:17.000,3.0,3,3,1,1.0,5,4,3,3.0,3
FA369774,2023-11-29 15:31:44.000,2023-11-29 15:33:19.000,3.0,4,2,1,1.0,5,4,4,4.0,3
MB654888,2023-11-29 15:31:53.000,2023-11-29 15:33:24.000,3.0,4,3,1,1.2,5,5,5,4.0,4
FA872888,2023-11-29 15:39:13.000,2023-11-29 15:39:45.000,4.0,4,2,1,1.0,4,4,3,4.0,3
MB654888,2023-11-29 15:41:49.000,2023-11-29 15:43:58.000,3.0,4,3,1,1.0,5,5,5,4.0,4
FA369774,2023-11-29 15:41:50.000,2023-11-29 15:45:10.000,4.0,4,2,1,1.0,5,5,5,4.0,3
FA872888,2023-11-29 15:49:13.000,2023-11-29 15:49:38.000,3.0,4,3,1,1.0,4,3,3,4.0,3
MD189828,2023-11-29 15:49:17.000,2023-11-29 15:50:18.000,2.0,2,3,1,1.0,6,6,3,2.0,3
MD189828,2023-11-29 15:50:20.000,2023-11-29 16:00:20.000,3.0,3,3,1,1.0,6,6,5,3.0,3
FA369774,2023-11-29 15:51:49.000,2023-11-29 15:54:12.000,4.0,4,2,1,1.0,5,5,5,4.0,3
MB654888,2023-11-29 15:51:53.000,2023-11-29 15:53:16.000,3.0,4,3,1,1.0,5,5,5,4.0,4
FA872888,2023-11-29 15:59:21.000,2023-11-29 15:59:47.000,4.0,4,3,1,1.0,4,3,3,4.0,3
MD189828,2023-11-29 16:00:24.000,2023-11-29 16:10:05.000,2.0,3,3,1,1.0,5,5,5,3.0,3
