Feature_Set,Model,RepCV_Accuracy_Mean,RepCV_Accuracy_Std,RepCV_Precision_Mean,RepCV_Precision_Std,RepCV_Recall_Mean,RepCV_Recall_Std,RepCV_F1_Mean,RepCV_F1_Std,RepCV_Kappa_Mean,RepCV_Kappa_Std
F_fanger,ET,0.7520509413067553,0.02075874032941642,0.7538199551712466,0.020446735577790098,0.7642541330468408,0.019450990550700518,0.7557432862624291,0.020579759103712642,0.6267785888214384,0.03101934162637184
F_fanger,RF,0.7607109634551495,0.01886641121984641,0.7626476405237365,0.0192545434362261,0.7715524743895701,0.01806937440686889,0.7650550158253658,0.018744684870699913,0.6393834196266955,0.02830563132470382
F_fanger,SVC,0.7009222591362126,0.01859632770620821,0.7015958444100642,0.019324343499911134,0.7186091876793913,0.01693085084611679,0.7008673046866113,0.019483421547511308,0.5520489646132472,0.027380387369696436
F_selected,ET,0.8239787375415282,0.02373977979926222,0.8330398044587999,0.021635986910008186,0.8240843558596224,0.024585853582470858,0.827198543281158,0.023378150294420003,0.7324254375465745,0.03642714840444053
F_selected,RF,0.8227729789590255,0.022079455724061232,0.8307650127664702,0.02036469211211868,0.8240297657765515,0.022786324798767077,0.8263646996308698,0.02174875705818472,0.7308349663463046,0.03383156591379631
F_selected,SVC,0.8302392026578072,0.021490261768824955,0.834982640811695,0.019249212322668616,0.8321465307513947,0.02279444973100513,0.832875508775682,0.021086307207089195,0.7425822280768252,0.03298277598810168
F_accessible,ET,0.8250316722037654,0.016680306962281715,0.8281056880143985,0.016419010712551217,0.8305345569917428,0.01728591226201228,0.8284086089706122,0.01662971394543063,0.7354457208767314,0.025319726136954292
F_accessible,RF,0.818366777408638,0.015773885518081093,0.8226385831731949,0.016281852953851483,0.8230977055213757,0.01670897171103025,0.8217404695983908,0.015928305743633523,0.7251604095637374,0.02401468916255012
F_accessible,SVC,0.8280947951273532,0.02032432948620614,0.8318117375280926,0.01946993469243809,0.8330051785609206,0.020397077461969813,0.8314142944742978,0.01985168636224611,0.739987735422531,0.03083469901979751
