Feature_Set,Model,CV Accuracy,Accuracy,Precision Score,Recall Score,F1 Score,Cohen's Kappa Score
F_fanger,ET,0.7307063868201309,0.7671840354767184,0.7688537464919981,0.7753524941385722,0.7709327759692339,0.6486261881265258
F_fanger,RF,0.7421484992101106,0.7494456762749445,0.7504703542439392,0.7584663271080928,0.7535360093795056,0.6220259285629525
F_fanger,SVC,0.7031189347777026,0.6807095343680709,0.6806370628918622,0.6979331392998626,0.6804071126520106,0.5216052565670257
F_selected,ET,0.8243118948824343,0.8372093023255814,0.8419602529358627,0.8393598087025261,0.8405779312108427,0.7531795970279135
F_selected,RF,0.8151590594744121,0.8372093023255814,0.8441535531280923,0.8384571543345252,0.8407017579841657,0.7529894490035169
F_selected,SVC,0.844280774550484,0.8172757475083057,0.8202569303583503,0.8218144644245086,0.8209844909928184,0.7235026889801917
F_accessible,ET,0.8211238997968856,0.7982261640798226,0.7986396175236917,0.8064314010833535,0.8017244494835776,0.695710843373494
F_accessible,RF,0.8087610020311441,0.8048780487804879,0.8062485342636944,0.8083098876222815,0.8072220698076293,0.704810002305707
F_accessible,SVC,0.8173008350259534,0.7804878048780488,0.7818017385294126,0.787483224189506,0.7842600578843463,0.6685276059955901
